,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
0,1,v0,12.5103,3.9283,4.729,17.007,2.7885,2.8428246899938494,13.0,2.0,2,1
1,1,p0,6.9816,7.8139,17.624000000000002,9.8279,1.39073023983805,1.6982277862452415,21.0,2.0,1,1
2,1,v1,12.6941,5.0008,5.0846,15.7345,2.3886,2.498176164614405,19.0,8.0,2,1
3,1,p1,7.0758,10.0843,14.0078,9.9686,0.9675032299687687,1.2322565237637393,21.0,2.0,1,1
4,1,p2,6.9517,10.6384,4.1991,10.2875,1.383149225499548,1.5182155806589603,6.0,2.0,1,1
5,1,p3,6.9421,11.0668,4.1238,10.7398,1.358114177821585,1.5694323192659652,6.0,2.0,1,1
6,1,p4,9.122,12.4495,3.9572,11.8279,1.336114560956507,1.5039504835956743,10.0,2.0,1,1
7,1,p5,16.5381,4.2545,6.6233,5.6902,0.9109458655705068,1.5330423733476644,21.0,2.0,1,1
8,2,p0,7.1271,9.3865,16.2696,9.8579,1.2654807149854161,1.680471711769763,15.0,2.0,1,1
9,2,v2,13.2366,4.1981,7.4049,14.872,2.1079,2.21134758590948,15.0,2.0,2,1
10,3,v2,17.7279,19.7543,15.3197,3.6006,0.3822,1.174453667758681,45.0,9.0,2,1
11,3,p5,20.016,15.075999999999999,3.9993,15.4901,0.8663004675053569,1.5900712086371451,35.0,9.0,1,1
12,3,p32,20.9193,9.8634,26.0324,11.9004,1.1695383405429682,1.329442362267672,19.0,9.0,1,1
13,3,p39,19.4379,10.5118,25.7132,11.4889,1.2369176043698304,1.396525701836468,20.0,9.0,1,1
14,3,p40,19.5223,9.5788,25.7787,10.7413,1.3052672561586764,1.3986247746330998,20.0,9.0,1,1
15,3,p41,18.836,11.9455,25.7514,12.7708,1.2355187736331652,1.423542006711794,21.0,9.0,1,1
16,3,p42,17.9541,10.7473,26.0558,12.1225,1.2013941900974885,1.3244021391557639,24.0,9.0,1,1
17,3,p43,18.9662,13.4404,25.623,14.8124,1.5643227831876643,1.9760929021584488,17.0,9.0,1,1
18,3,p44,18.9532,13.8213,26.0339,15.8646,1.5766907432974928,1.9552789614222776,18.0,9.0,1,1
19,3,p45,16.3584,9.347999999999999,25.8057,10.993,1.5327771038216875,1.6231771655853329,23.0,9.0,1,1
20,3,p46,14.081,9.2642,26.0461,11.095999999999998,1.4762261141166688,1.6089866186850676,26.0,9.0,1,1
21,3,p47,15.5191,11.0235,25.4966,12.3058,1.326086712851011,1.5525770765068871,24.0,9.0,1,1
22,3,p48,15.1882,11.557,25.4608,13.3291,1.476065449090927,1.647257723722679,24.0,9.0,1,1
23,3,p49,13.7616,12.1621,25.6653,13.7567,1.423005073778727,1.6367640072305956,26.0,9.0,1,1
24,3,p50,13.7323,12.7371,25.6729,14.3364,1.493201771362464,1.5878442939530606,26.0,9.0,1,1
25,3,p51,14.356,13.9925,25.8909,14.5031,1.5984703938453162,1.7358939987967479,24.0,9.0,1,1
26,3,p52,12.5697,11.139000000000001,25.8211,13.2834,1.6587960513577311,1.7912281216367654,27.0,9.0,1,1
27,3,p53,11.4936,9.8014,25.9819,10.494000000000002,1.3913343415584911,1.6090304332785013,32.0,9.0,1,1
28,3,p54,11.6743,7.8568,25.5795,14.4854,1.5743449209115516,1.7747912882769874,29.0,9.0,1,1
29,3,p55,9.8093,9.1342,25.9208,10.5434,1.2101090612006837,1.4806864706783538,36.0,9.0,1,1
30,3,p56,9.9732,9.6126,26.0012,11.1209,1.1410269760176575,1.4884572614235374,36.0,9.0,1,1
31,3,p57,10.5349,10.9599,25.8192,12.0534,1.450148299312867,1.6412892581718639,30.0,9.0,1,1
32,3,p59,7.2205,9.4732,25.7,11.0571,1.2633000158315524,1.491297041776947,39.0,9.0,1,1
33,3,p60,7.1925,10.1551,25.7673,12.0642,1.2653396698120234,1.4708382425102375,39.0,9.0,1,1
34,3,p61,7.9581,10.8853,25.5062,12.5411,1.52425986301549,1.6648261156593327,33.0,9.0,1,1
35,3,p62,7.8427,11.5958,25.3699,13.2849,1.420802565453765,1.6861408498206454,33.0,9.0,1,1
36,3,p63,7.7517,12.1676,25.921999999999997,13.9261,1.4740524583609635,1.7238122734107928,34.0,9.0,1,1
37,3,p64,5.608,12.3946,25.7261,12.7719,1.3356010819103135,1.8160968683968568,36.0,9.0,1,1
38,3,p66,4.8801,9.36,25.7213,10.7041,1.5085140304286202,1.625202167785681,42.0,11.0,1,1
39,3,p67,4.8121,9.8825,25.7465,11.2576,1.4386200645062617,1.6211281726898659,42.0,11.0,1,1
40,3,p68,5.0049,10.5567,25.8172,11.7485,1.450220569430733,1.6086792012268303,43.0,11.0,1,1
41,3,p69,5.2747,12.2237,25.5431,11.0465,1.2137419989437623,1.4633036988051484,45.0,11.0,1,1
42,3,p70,4.6009,13.8259,24.7973,17.6151,1.1977939263496038,1.4786669398027132,47.0,11.0,1,1
43,3,p71,4.9876,13.9614,25.4173,17.6899,1.5341837862524816,1.913285426678213,42.0,14.0,1,1
44,3,p73,4.3063,9.837,24.3575,11.1652,1.4900541097557498,1.6629650846258446,47.0,17.0,1,1
45,3,p74,4.2666,10.3282,24.2035,11.6571,1.4512154250834024,1.650053911441078,47.0,17.0,1,1
46,3,p75,4.9658,12.3622,25.9992,13.6623,1.6280055282461419,1.9716175592148582,43.0,17.0,1,1
47,3,p77,4.4327,11.7543,19.8996,13.5382,1.2205118311593706,1.4067130370018122,47.0,19.0,1,1
48,3,p79,5.7355,8.4403,25.8158,13.3089,3.062656907000848,2.643821278941124,46.0,22.0,1,1
49,3,p82,4.4432,10.6574,16.3255,11.3948,1.2361369584313868,1.286151342557228,47.0,24.0,1,1
50,3,p83,4.4425,11.3475,16.5605,12.0311,1.1615589266154343,1.2909235091401636,47.0,24.0,1,1
51,3,p84,4.9662,9.014,17.0386,9.6086,1.493529089104059,1.6423265330527785,47.0,26.0,1,1
52,3,p87,4.8323,9.4809,15.2,10.4446,1.2769822708244623,1.3767651436101576,47.0,29.0,1,1
